,customer_id,payment_type_id,internet_service_type_id,contract_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0,0002-ORFBO,2,1,2,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,One year,DSL,Mailed check,2,Yes,Female,0,Yes,Yes,2,65.6,593.3,2021-04-21 18:07:34,Yes,No,1,No,Yes,No,Yes,Yes,No
1,0003-MKNFE,2,1,1,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,Month-to-month,DSL,Mailed check,1,No,Male,0,No,No,2,59.9,542.4,2021-04-21 18:07:34,Yes,Yes,1,No,No,No,No,No,Yes
2,0004-TLHLJ,1,2,1,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,No,No,1,73.9,280.85,2021-09-21 18:07:34,Yes,No,2,No,No,Yes,No,No,No
3,0011-IGKFF,1,2,1,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98.0,1237.85,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,1,Yes,No,1,98.0,1237.85,2020-12-21 18:07:34,Yes,No,2,No,Yes,Yes,No,Yes,Yes
4,0013-EXCHZ,2,2,1,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,Month-to-month,Fiber optic,Mailed check,1,Yes,Female,1,Yes,No,2,83.9,267.4,2021-10-21 18:07:34,Yes,No,2,No,No,No,Yes,Yes,No
5,0013-MHZWF,4,1,1,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,Month-to-month,DSL,Credit card (automatic),1,Yes,Female,0,No,Yes,4,69.4,571.45,2021-04-21 18:07:34,Yes,No,1,No,No,No,Yes,Yes,Yes
6,0013-SMEOE,3,2,3,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,Two year,Fiber optic,Bank transfer (automatic),3,Yes,Female,1,Yes,No,3,109.7,7904.25,2016-02-21 18:07:34,Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes
7,0014-BMAQU,4,2,3,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,Two year,Fiber optic,Credit card (automatic),3,Yes,Male,0,Yes,No,4,84.65,5377.8,2016-10-21 18:07:34,Yes,Yes,2,Yes,No,No,Yes,No,No
8,0015-UOCOJ,1,1,1,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,Month-to-month,DSL,Electronic check,1,Yes,Female,1,No,No,1,48.2,340.35,2021-06-21 18:07:34,Yes,No,1,Yes,No,No,No,No,No
9,0016-QLJIS,2,1,3,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,Two year,DSL,Mailed check,3,Yes,Female,0,Yes,Yes,2,90.45,5957.9,2016-08-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
